review_id,review_text,overall_score,travel_type,customer_class
0,Lost my bags again.,3,Personal,Economy
1,Great legroom in economy.,9,Business,Eco Plus
2,Smooth boarding process.,10,Personal,Eco Plus
3,No legroom at all.,4,Personal,Business
4,Rude staff at the gate.,5,Business,Business
5,Loved the meal options.,7,Business,Eco Plus
6,Great legroom in economy.,10,Personal,Eco Plus
7,Clean plane and friendly staff.,9,Personal,Eco Plus
8,The cabin crew was amazing!,9,Business,Eco Plus
9,The cabin crew was amazing!,9,Personal,Economy
10,Great legroom in economy.,8,Business,Business
11,Rude staff at the gate.,4,Business,Eco Plus
12,Wi-fi was fast and reliable.,8,Business,Business
13,Great legroom in economy.,8,Personal,Business
14,Clean plane and friendly staff.,7,Business,Business
15,Great legroom in economy.,8,Personal,Business
16,Clean plane and friendly staff.,9,Personal,Economy
17,Smooth boarding process.,10,Business,Business
18,Great legroom in economy.,7,Personal,Economy
19,Lost my bags again.,1,Business,Eco Plus
20,The cabin crew was amazing!,10,Personal,Eco Plus
21,The cabin crew was amazing!,10,Business,Eco Plus
22,Smooth boarding process.,8,Business,Business
23,The food was cold.,4,Personal,Economy
24,The seat wouldn't recline.,5,Business,Business
25,The cabin crew was amazing!,9,Business,Eco Plus
26,The cabin crew was amazing!,7,Personal,Eco Plus
27,Wi-fi was fast and reliable.,7,Business,Eco Plus
28,Rude staff at the gate.,5,Business,Eco Plus
29,The cabin crew was amazing!,10,Business,Business
30,Lost my bags again.,3,Business,Economy
31,Wi-fi didn't work the whole flight.,3,Personal,Business
32,Clean plane and friendly staff.,7,Business,Business
33,Loved the meal options.,10,Personal,Business
34,Great legroom in economy.,9,Personal,Economy
35,The food was cold.,1,Business,Eco Plus
36,Loved the meal options.,7,Business,Eco Plus
37,Wi-fi didn't work the whole flight.,1,Personal,Economy
38,Great legroom in economy.,10,Personal,Eco Plus
39,The food was cold.,4,Business,Business
40,Loved the meal options.,10,Personal,Eco Plus
41,The cabin crew was amazing!,7,Business,Economy
42,No legroom at all.,2,Personal,Business
43,The food was cold.,1,Business,Business
