review_id,review_text,overall_score,travel_type,customer_class,sentiment_score,sentiment_label
0,Lost my bags again.,3,Personal,Economy,0.0,Neutral
1,Great legroom in economy.,9,Business,Eco Plus,0.8,Positive
2,Smooth boarding process.,10,Personal,Eco Plus,0.4,Positive
3,No legroom at all.,4,Personal,Business,0.0,Neutral
4,Rude staff at the gate.,5,Business,Business,-0.3,Negative
5,Loved the meal options.,7,Business,Eco Plus,0.7,Positive
6,Great legroom in economy.,10,Personal,Eco Plus,0.8,Positive
7,Clean plane and friendly staff.,9,Personal,Eco Plus,0.37083333333333335,Positive
8,The cabin crew was amazing!,9,Business,Eco Plus,0.7500000000000001,Positive
9,The cabin crew was amazing!,9,Personal,Economy,0.7500000000000001,Positive
10,Great legroom in economy.,8,Business,Business,0.8,Positive
11,Rude staff at the gate.,4,Business,Eco Plus,-0.3,Negative
12,Wi-fi was fast and reliable.,8,Business,Business,0.2,Positive
13,Great legroom in economy.,8,Personal,Business,0.8,Positive
14,Clean plane and friendly staff.,7,Business,Business,0.37083333333333335,Positive
15,Great legroom in economy.,8,Personal,Business,0.8,Positive
16,Clean plane and friendly staff.,9,Personal,Economy,0.37083333333333335,Positive
17,Smooth boarding process.,10,Business,Business,0.4,Positive
18,Great legroom in economy.,7,Personal,Economy,0.8,Positive
19,Lost my bags again.,1,Business,Eco Plus,0.0,Neutral
20,The cabin crew was amazing!,10,Personal,Eco Plus,0.7500000000000001,Positive
21,The cabin crew was amazing!,10,Business,Eco Plus,0.7500000000000001,Positive
22,Smooth boarding process.,8,Business,Business,0.4,Positive
23,The food was cold.,4,Personal,Economy,-0.6,Negative
24,The seat wouldn't recline.,5,Business,Business,0.0,Neutral
25,The cabin crew was amazing!,9,Business,Eco Plus,0.7500000000000001,Positive
26,The cabin crew was amazing!,7,Personal,Eco Plus,0.7500000000000001,Positive
27,Wi-fi was fast and reliable.,7,Business,Eco Plus,0.2,Positive
28,Rude staff at the gate.,5,Business,Eco Plus,-0.3,Negative
29,The cabin crew was amazing!,10,Business,Business,0.7500000000000001,Positive
30,Lost my bags again.,3,Business,Economy,0.0,Neutral
31,Wi-fi didn't work the whole flight.,3,Personal,Business,0.2,Positive
32,Clean plane and friendly staff.,7,Business,Business,0.37083333333333335,Positive
33,Loved the meal options.,10,Personal,Business,0.7,Positive
34,Great legroom in economy.,9,Personal,Economy,0.8,Positive
35,The food was cold.,1,Business,Eco Plus,-0.6,Negative
36,Loved the meal options.,7,Business,Eco Plus,0.7,Positive
37,Wi-fi didn't work the whole flight.,1,Personal,Economy,0.2,Positive
38,Great legroom in economy.,10,Personal,Eco Plus,0.8,Positive
39,The food was cold.,4,Business,Business,-0.6,Negative
40,Loved the meal options.,10,Personal,Eco Plus,0.7,Positive
41,The cabin crew was amazing!,7,Business,Economy,0.7500000000000001,Positive
42,No legroom at all.,2,Personal,Business,0.0,Neutral
43,The food was cold.,1,Business,Business,-0.6,Negative
44,Rude staff at the gate.,2,Personal,Business,-0.3,Negative
45,Rude staff at the gate.,3,Personal,Eco Plus,-0.3,Negative
46,The seat wouldn't recline.,5,Personal,Business,0.0,Neutral
47,Wi-fi was fast and reliable.,9,Personal,Economy,0.2,Positive
48,Wi-fi didn't work the whole flight.,5,Business,Eco Plus,0.2,Positive
49,No legroom at all.,3,Business,Eco Plus,0.0,Neutral
50,Rude staff at the gate.,1,Business,Eco Plus,-0.3,Negative
51,The cabin crew was amazing!,9,Personal,Economy,0.7500000000000001,Positive
52,The seat wouldn't recline.,2,Business,Eco Plus,0.0,Neutral
53,Great legroom in economy.,10,Business,Economy,0.8,Positive
54,The seat wouldn't recline.,4,Business,Economy,0.0,Neutral
55,The cabin crew was amazing!,7,Business,Eco Plus,0.7500000000000001,Positive
56,Wi-fi was fast and reliable.,10,Personal,Business,0.2,Positive
57,Loved the meal options.,9,Business,Business,0.7,Positive
58,Clean plane and friendly staff.,9,Personal,Business,0.37083333333333335,Positive
59,The cabin crew was amazing!,7,Personal,Business,0.7500000000000001,Positive
60,Clean plane and friendly staff.,9,Personal,Economy,0.37083333333333335,Positive
61,The food was cold.,4,Business,Business,-0.6,Negative
62,Rude staff at the gate.,3,Business,Economy,-0.3,Negative
63,Wi-fi was fast and reliable.,9,Personal,Eco Plus,0.2,Positive
64,The seat wouldn't recline.,5,Business,Business,0.0,Neutral
65,Wi-fi was fast and reliable.,8,Business,Business,0.2,Positive
66,The cabin crew was amazing!,7,Personal,Economy,0.7500000000000001,Positive
67,Loved the meal options.,9,Personal,Economy,0.7,Positive
68,Rude staff at the gate.,4,Personal,Economy,-0.3,Negative
69,The seat wouldn't recline.,3,Personal,Economy,0.0,Neutral
70,Smooth boarding process.,7,Personal,Economy,0.4,Positive
71,Loved the meal options.,7,Personal,Eco Plus,0.7,Positive
72,The food was cold.,3,Personal,Business,-0.6,Negative
73,Clean plane and friendly staff.,8,Business,Business,0.37083333333333335,Positive
74,The seat wouldn't recline.,2,Business,Eco Plus,0.0,Neutral
75,No legroom at all.,1,Personal,Economy,0.0,Neutral
76,The seat wouldn't recline.,5,Personal,Eco Plus,0.0,Neutral
77,Great legroom in economy.,7,Personal,Economy,0.8,Positive
